platform,fiscal_year,quarter,guidance_contaminated_working,reason,status
GoTo,2025,2,no,Official Q2 2025 release explicitly reaffirmed FY2025 Adjusted EBITDA guidance of Rp1.4-1.6T; no guidance revision identified. Operational/product announcements do not meet the manuscript's major-event contamination rule.,RESOLVED/REVIEWED 2026-08-26
GoTo,2025,3,yes,Official Q3 2025 release states that GoTo raised its full-year guidance; this is a direct guidance revision in the same earnings release.,RESOLVED/REVIEWED 2026-08-26
GoTo,2025,4,candidate,"Primary GoTo release is now verified (11 Mar 2026). It sets initial FY2026 Adjusted EBITDA guidance of Rp3.2-3.4T while reporting FY2025 results. Under the literal current rule ('revises guidance'), initial next-year guidance is not automatically contaminated; under a broader guidance-news rule it would be.",PRIMARY SOURCE RESOLVED; RULE-DEFINITION DECISION REQUIRED
GoTo,2026,1,no,Official Q1 2026 release reaffirmed full-year Adjusted EBITDA guidance of Rp3.2-3.4T rather than revising it; no new M&A/capital/restructuring event identified in the results release.,RESOLVED/REVIEWED 2026-08-26
Grab,2022,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2022,2,yes,FY2022 guidance revised/downward or profitability timing changed in same release,working known example; final full recode required
Grab,2022,3,yes,FY2022 revenue / Adjusted EBITDA guidance revised in same release,working known example; final full recode required
Grab,2022,4,candidate,Breakeven timing brought forward; apply final contamination rule consistently,working known example; final full recode required
Grab,2023,1,yes,Adjusted EBITDA guidance revised upward,working known example; final full recode required
Grab,2023,2,yes,Breakeven timing brought forward,working known example; final full recode required
Grab,2023,3,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2023,4,candidate,Inaugural US$500m share repurchase announced concurrently,working known example; final full recode required
Grab,2024,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2024,2,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2024,3,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2024,4,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2025,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2025,2,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2025,3,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2025,4,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Grab,2026,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2022,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2022,2,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2022,3,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2022,4,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2023,4,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2024,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2024,2,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2024,3,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2024,4,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2025,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2025,2,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2025,3,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2025,4,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
Sea,2026,1,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW
