firm,fiscal_quarter,announcement_date,announcement_time,timezone,source_url,concurrent_guidance,concurrent_other,retrieved_at_utc,http_status,content_type,saved_file,bytes,sha256,archive_status,error
GRAB,2022Q2,2022-08-15,,,https://investors.grab.com/news-and-events/news-details/2022/Grab-Reports-Second-Quarter-2022-Results/default.aspx,N,Record quarterly revenue at the time; GMV +30% YoY,2026-09-08T09:47:59.071580+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q2.html,364759,367f49dfdb3ba4d89e080c4f3c5cf81774a10c1d5e695fe828d68f0eef89923e,retrieved,
GRAB,2022Q3,2022-11-16,,,https://www.businesswire.com/news/home/20221116005478/en/Grab-Reports-Third-Quarter-2022-Results,N,Record quarterly revenue at the time; GMV +26% YoY,2026-09-08T09:48:00.326946+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
GRAB,2022Q4,2023-02-23,,,https://www.businesswire.com/news/home/20230223005467/en/Grab-Reports-Fourth-Quarter-and-Full-Year-2022-Results,Y,"Revenue +310% YoY (comping a low prior-year base); FY22 GMV $19.9B (+24% YoY), FY22 revenue $1,433M -- matches round-1 SEC XBRL figure for 2022FY exactly, cross-validating both sources",2026-09-08T09:48:00.701399+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
GRAB,2023Q1,2023-05-18,,,https://www.grab.com/sg/press/others/grab-reports-first-quarter-2023-results/,N,"GMV +3% YoY (+7% constant currency, softer Deliveries demand from CNY/Ramadan timing); MTUs 33.3M (+8% YoY)",2026-09-08T09:48:00.976275+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q1.html,231647,6b14ae3da9a2f8929f76b8b8636a2be64a741961f05208468179d15465869ce1,retrieved,
GRAB,2023Q3,2023-11-09,,,https://www.businesswire.com/news/home/20231109083952/en/Grab-Reports-Third-Quarter-2023-Results,N,GMV +5% YoY (+6% constant currency); MTUs +7% YoY,2026-09-08T09:48:01.780294+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
GRAB,2023Q4,2024-02-22,,,https://investors.grab.com/news-and-events/news-details/2024/Grab-Reports-Fourth-Quarter-and-Full-Year-2023-Results-and-Announces-Inaugural-Share-Repurchase-Program-of-Up-to-500-Million/default.aspx,Y,"GMV +9% YoY (absolute not found in available sources; Deliveries GMV specifically was $2,648M, +13% YoY). Repaid outstanding Term Loan B balance. FY23 GMV $20,983M (disclosed directly, +5% YoY / +7% constant currency)",2026-09-08T09:48:02.056406+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q4.html,167732,22471e61f81f7547e5bdb05877d9bc3da2e2cd6d32d7dd62af9e124b3339df71,retrieved,
GRAB,2024Q1,2024-05-15,,,https://investors.grab.com/news-and-events/news-details/2024/Grab-Reports-First-Quarter-2024-Results/default.aspx,Y,Repurchased ~$97M shares; repaid $497M Term Loan B,2026-09-08T09:48:02.601958+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q1.html,148576,f27778f1cb0f19876ef5860a7aceab78395ee96ffe71ff83abb115bb301d48ff,retrieved,
GRAB,2024Q2,2024-08-15,,,https://www.grab.com/sg/press/others/grab-reports-second-quarter-2024-results/,Y,"10th consecutive quarter of Adj. EBITDA growth; 41M MTUs; GXBank >750K deposit customers, digital-bank deposits $730M (from $479M prior quarter)",2026-09-08T09:48:03.145703+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q2.html,240366,b2a9cf5f29d6a2c0202fa65a513c8ed660b0f5f564d1dfb4494a0b279fffc421,retrieved,
GRAB,2024Q3,2024-11-07,,,https://www.sec.gov/Archives/edgar/data/1855612/000185561224000004/grab-20240930xex991fx3.htm,N,"Revenue +17% YoY, GMV +15% YoY",2026-09-08T09:48:04.717650+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q3.html,354961,576473c1ae112a74448565da469af17390dc9d90a9df3a458f178e1587020309,retrieved,
GRAB,2024Q4,2025-02-20,,,https://www.grab.com/sg/press/others/grab-reports-fourth-quarter-and-full-year-2024-results/,N,Record quarterly profit $11M; $37.1M repurchased under $500M program,2026-09-08T09:48:05.059899+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q4.html,239253,b98aa5904480a7f94867cff7ad7323071bbb2f6c96a8b525e6b7bd67dbc5a727,retrieved,
GRAB,2025Q1,2025-04-30,,,https://www.grab.com/sg/press/others/grab-reports-first-quarter-2025-results/,Y,"MOUs with 4 AV companies (Autonomous A2Z, Motional, WeRide, Zelos); GrabCab street-hail license (Singapore)",2026-09-08T09:48:06.610087+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q1.html,237222,65db1d0d521e1c29f5de23eacf4d684cee809332f960dfa494a20bb46f298d17,retrieved,
GRAB,2025Q2,2025-08-14,,,https://www.sec.gov/Archives/edgar/data/1855612/000185561225000045/a2025q2-earningspressrelea.htm,N,"Revenue +23% YoY, GMV +21% YoY",2026-09-08T09:48:07.416906+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q2.html,369947,5cdd964dcae7ed5de865e6aa5b9a016b05f2813cf7218bfe399713710307e4d5,retrieved,
GRAB,2025Q3,2025-11-04,,,https://www.grab.com/sg/press/others/grab-reports-third-quarter-2025-results/,Y,"Ai.R autonomous ride launch plan (WeRide, Singapore); May Mobility partnership",2026-09-08T09:48:07.717119+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q3.html,239832,029f83d292babadb60b6f9fb5713a4fbc0bc3232828976237a824f716b0a7fb7,retrieved,
GRAB,2025Q4,2026-02-12,,,https://www.grab.com/sg/press/others/grab-reports-fourth-quarter-and-2025-results-with-first-full-year-net-profit/,N,First full-year net profit ($200M); new $500M share repurchase program authorized,2026-09-08T09:48:08.532970+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q4.html,239243,3b86f9957b47465e06a777379bbba7a059a2c2b469aec27a00c0466bdb9cd4ae,retrieved,
SEA,2022Q1,2022-05-17,,,https://www.businesswire.com/news/home/20220516006121/en/Sea-Limited-Reports-First-Quarter-2022-Results,N,Marketplace revenue $1.3B (+75.3% YoY); Garena revenue $1.1B (+45.3% YoY),2026-09-08T09:48:09.343988+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2022Q2,2022-08-16,,,https://www.businesswire.com/news/home/20220815005740/en/Sea-Limited-Reports-Second-Quarter-2022-Results,N,Gross orders 2.0B (+41.6% YoY); marketplace revenue $1.5B (+61.9% YoY),2026-09-08T09:48:09.619762+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2022Q3,2022-11-15,,,https://www.businesswire.com/news/home/20221114006143/en/Sea-Limited-Reports-Third-Quarter-2022-Results,N,Gross orders 2.0B (+19.2% YoY); core marketplace revenue $1.0B (+54.1% YoY),2026-09-08T09:48:09.894655+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2022Q4,2023-03-07,,,https://www.businesswire.com/news/home/20230306005889/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2022-Results,N,"Net income $422.8M (profitable quarter). FY22 total: GMV $73.5B, revenue $12.4B, net loss $1.7B",2026-09-08T09:48:10.170053+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2023Q1,2023-05-16,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001703399,N,Net income $87.3M; e-commerce revenue $2.1B,2026-09-08T09:48:10.446760+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2023Q1.html,38254,db82ba6d507b2ff9921af6f9a777db49a55df8e0b90f3fcf572dcef77bd17249,retrieved,
SEA,2023Q2,2023-08-14,,,https://www.businesswire.com/news/home/20230814738285/en/Sea-Limited-Reports-Second-Quarter-2023-Results,N,Net income $331.0M (vs net loss $931.2M in 2022Q2); e-commerce revenue $2.1B (+20.6% YoY),2026-09-08T09:48:12.508818+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2023Q3,2023-11-14,,,https://markets.financialcontent.com/stocks/article/bizwire-2023-11-14-sea-limited-reports-third-quarter-2023-results,N,E-commerce revenue $2.2B (+16.2% YoY); marketplace revenue $1.9B (+18.2% YoY),2026-09-08T09:48:12.786237+00:00,200,text/html,01_RAW_SOURCES/quarterly_releases/SEA_2023Q3.html,270827,062948eacd7956e65fddaa8b2cd99bb13882aff594da9a1ee5fce6a8d04401f1,retrieved,
SEA,2023Q4,2024-03-04,,,https://www.businesswire.com/news/home/20240303800540/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2023-Results,N,Net loss $(111.6)M. FY23 total revenue $13.1B; first full year of annual profit since IPO,2026-09-08T09:48:15.053632+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2024Q4,2025-03-04,,,https://www.businesswire.com/news/home/20250303845756/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2024-Results,N,GMV +23.5% YoY. FY24: GMV surpassed $100B (+28% YoY),2026-09-08T09:48:15.327536+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2025Q1,2025-05-12,,,https://www.businesswire.com/news/home/20250512899100/en/Sea-Limited-Reports-First-Quarter-2025-Results,N,Record-high Shopee GMV and gross order volume for the quarter,2026-09-08T09:48:15.607579+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2025Q2,2025-08-12,,,https://cdn.sea.com/webmain/static/resource/seagroup/website/investornews/2Q2025/ael196LSsTKP3uVZYuCA/2025.08.12%20Sea%20Second%20Quarter%202025%20Results.pdf,N,Gross orders 3.3B (+28.6% YoY); core marketplace revenue $2.6B (+46.2% YoY),2026-09-08T09:48:15.882037+00:00,200,application/pdf,01_RAW_SOURCES/quarterly_releases/SEA_2025Q2.pdf,392554,874cbc5b6a37852f046152868a429df49534baa9e666f9400d920bfd5582fa5c,retrieved,
SEA,2025Q3,2025-11-10,,,https://cdn.sea.com/investor/3Q2025/VCQyb53nURvpodOR3CpG/2025.11.11%20Sea%20Third%20Quarter%202025%20Results.pdf,Y,"Monee (fintech) revenue +60.8% to $989.9M; Garena bookings +51%, best quarter since 2021. VERIFICATION NOTE: a direct PDF fetch of the official results PDF for this exact URL initially returned Q3 2021 figures ($5.6B GMV / $1.1B revenue) mislabeled as Q3 2025. Caught and replaced by cross-checking against a WebSearch pull of the same release (businesswire/Yahoo mirrors) before recording. Do not treat the PDF fetch tool's output as reliable without a second source.",2026-09-08T09:48:16.564220+00:00,200,application/pdf,01_RAW_SOURCES/quarterly_releases/SEA_2025Q3.pdf,393171,85fd613cd5b5e12377d848c2a642e73cd29ad70f0132f9b38ec442e01bbc5be3,retrieved,
SEA,2025Q4,2026-03-03,,,https://www.businesswire.com/news/home/20260302039769/en/Sea-Limited-Reports-Fourth-Quarter-and-Full-Year-2025-Results,N,"Shopee GAAP revenue $4.3B (Shopee-specific, not the $6.9B consolidated figure); gross orders 4.0B (+30.5% YoY); FY25 net income $1.6B (>3x YoY)",2026-09-08T09:48:16.999621+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
SEA,2026Q1,2026-05-12,,,https://www.businesswire.com/news/home/20260511833139/en/Sea-Limited-Reports-First-Quarter-2026-Results,N,"Net income $427.94M; Monee revenue $1.2B (+57.8% YoY); Garena revenue $696.6M (+40.6% YoY, best quarter since 2021)",2026-09-08T09:48:17.275897+00:00,403,,,,,not_retrieved,HTTP Error 403: Forbidden
