platform,fiscal_year,quarter,announcement_date,event_session_date,status,release_timing,notes
GoTo,2022,4,2023-03-20,2023-03-21,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Mar 20 2023. CONTAMINATED: fulfillment/logistics restructuring, Rp11T goodwill impairment, elimination of FY2023 GTV/revenue guidance."
GoTo,2023,1,2023-04-27,2023-04-28,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Apr 27 2023. Not contaminated: references prior-quarter restructuring only, no new guidance revision or major concurrent event."
GoTo,2023,2,2023-08-15,2023-08-16,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,Source: official gotocompany.com press release dated Aug 15 2023. CONTAMINATED: FY2023 Adjusted EBITDA guidance revised upward; GoPay standalone app launch; Electrum EV factory groundbreaking announced same release.
GoTo,2023,3,2023-10-30,2023-10-31,verified/working mapping,after IDX close / first reactive session next day,"First reactive IDX session, not raw publication calendar date."
GoTo,2023,4,2024-03-19,2024-03-20,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Mar 19 2024. CONTAMINATED: TikTok-Tokopedia combination announced (TikTok controlling stake, >US$1.5B commitment), US$200M share buyback approved, FY guidance beat disclosed same release."
GoTo,2024,1,2024-04-29,2024-04-30,verified/working mapping,"~19:00 WIB, after IDX close","First reactive IDX session, not raw publication calendar date."
GoTo,2024,2,2024-07-30,2024-07-31,verified/working mapping,"~19:00 WIB, after IDX close","First reactive IDX session, not raw publication calendar date."
GoTo,2024,3,2024-10-30,2024-10-31,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date."
GoTo,2024,4,2025-03-12,2025-03-13,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Mar 12 2025. CONTAMINATED: new FY2025 Adjusted EBITDA guidance issued same release, alongside ongoing US$200M buyback and treasury-share cancellation disclosures."
GoTo,2025,1,2025-04-29,2025-04-30,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date."
GoTo,2025,2,2025-08-13,2025-08-14,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date."
GoTo,2025,3,2025-10-29,2025-10-30,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date."
GoTo,2025,4,2026-03-11,2026-03-12,CANDIDATE/WORKING: primary announcement date verified; event-session timing inferred pending timestamp proof,after IDX close inferred; exact publication timestamp not yet independently proven,"Primary source located: GoTo official press release, 11 Mar 2026, 'GoTo Beats Guidance Achieving Record Results as it Reports 2025 Fourth Quarter and Full Year Earnings'. Release sets FY2026 adjusted EBITDA guidance at Rp3.2-3.4T. Do not call 12 Mar 2026 event session 'verified' until publication/call timing is timestamp-proven."
GoTo,2026,1,2026-04-28,2026-04-29,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Apr 28 2026. Not contaminated: first quarterly net profit is a results highlight, not a guidance revision or concurrent major corporate event; FY guidance reaffirmed, not revised."
