platform,fiscal_year,quarter,gmv_or_gtv,matched_revenue,currency,unit,panel_basis,panel_notes,announcement_date,event_session_date,event_timing_status,release_timing,gtv_gmv_source_definition,revenue_source_definition,panel_field_directness,scope_comparability_flag,source_origin,source_relation,source_url,archived_file,archive_status,numeric_fields_reextracted_from_raw_source
GoTo,2024,4,144.464,4.231,IDR,trillions,contemporaneous clean event input,Post-Tokopedia deconsolidation structural break; comparable/pro-forma basis,2025-03-12,2025-03-13,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,2024 rows are post-Tokopedia-deconsolidation and may use disclosed comparable/pro-forma group information; do not pool mechanically with pre-2024 rows,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/QuarterlyReport/%5BFINAL%5D%202025.03.12_4Q24%20%26%20FY24%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2024Q4_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2025,1,144.56,4.231,IDR,trillions,contemporaneous clean event input,,2025-04-29,2025-04-30,verified/working mapping,after IDX close,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,post-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/GOTO%201Q25%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q1_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2025,2,152.873,4.328,IDR,trillions,contemporaneous clean event input,,2025-08-13,2025-08-14,verified/working mapping,after IDX close,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,post-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2025-08-13/GOTO%202Q25%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q2_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2025,3,176.484,4.736,IDR,trillions,contemporaneous clean event input,,2025-10-29,2025-10-30,verified/working mapping,after IDX close,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,post-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2025-10-29/GOTO%203Q25%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q3_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2025,4,211.732,5.027,IDR,trillions,contemporaneous clean event input,,2026-03-11,2026-03-12,CANDIDATE/WORKING: primary announcement date verified; event-session timing inferred pending timestamp proof,after IDX close inferred; exact publication timestamp not yet independently proven,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,post-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2026-03-11/GOTO%20Q4%20FY25%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2025Q4_primary_presentation.pdf,already_present,YES — see goto_panel_primary_document_reconciliation.csv
GoTo,2026,1,236.316,5.341,IDR,trillions,contemporaneous clean event input,,2026-04-28,2026-04-29,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,reported Group GTV (basis must be read from the individual release),reported Group net revenue (basis must be read from the individual release),reported Group-level fields; exact actual/pro-forma label remains a row-by-row extraction check,post-deconsolidation Group reporting; geography is Group rather than Indonesia-only,archived_issuer_results_document,issuer_results_presentation,https://content.goinfra.co.id/asts/InvestorRelation/FinancialInformation/2026-04-28/GOTO%201Q26%20Earnings%20Presentation.pdf,01_RAW_SOURCES/quarterly_releases/GOTO_2026Q1_primary_presentation.pdf,retrieved,YES — see goto_panel_primary_document_reconciliation.csv
Grab,2022,1,3396,203,USD,millions,contemporaneous clean event input,,2022-05-19,2022-05-19,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000119312522154516/d480353dex991.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q1_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2022,2,3511,295,USD,millions,contemporaneous clean event input,,2022-08-25,2022-08-25,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000119312522229152/d387827dex991.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q2_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2022,3,3525,347,USD,millions,contemporaneous clean event input,,2022-11-16,2022-11-16,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000119312522286220/d420282dex991.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q3_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2022,4,3499,457,USD,millions,contemporaneous clean event input,Deliveries business-model/revenue-recognition break caveat,2023-02-23,2023-02-23,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000119312523045533/d449524dex991.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2022Q4_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2023,1,3562,469,USD,millions,contemporaneous clean event input,,2023-05-18,2023-05-18,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000095017023022877/ck0001855612-ex99_1.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q1_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2023,2,3893,500,USD,millions,contemporaneous clean event input,,2023-08-23,2023-08-23,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000095017023044020/ck0001855612-ex99_1.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q2_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2023,3,4015,537,USD,millions,contemporaneous clean event input,,2023-11-09,2023-11-09,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Mobility GMV + Deliveries GMV from the same release,Mobility revenue + Deliveries revenue from the same release,both panel fields mechanically summed from reported segment values,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000095017023061499/ck0001855612-ex99_1.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q3_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2023,4,4122,558,USD,millions,contemporaneous clean event input,,2024-02-22,2024-02-22,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000095017024018412/ck0001855612-ex99_1.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2023Q4_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2024,1,4242,597,USD,millions,contemporaneous clean event input,,2024-05-16,2024-05-16,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000095017024060727/ck0001855612-ex99_1.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q1_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2024,2,4434,603,USD,millions,contemporaneous clean event input,,2024-08-15,2024-08-15,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000095017024097373/ck0001855612-ex99_1.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q2_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2024,3,4659,651,USD,millions,contemporaneous clean event input,,2024-11-12,2024-11-12,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561224000004/grab-20240930xex991fx3.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q3_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2024,4,5028,689,USD,millions,contemporaneous clean event input,,2025-02-20,2025-02-20,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561225000005/exhibit991.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2024Q4_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2025,1,4933,697,USD,millions,contemporaneous clean event input,,2025-04-30,2025-04-30,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561225000026/exhibit991-earningsrelease.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q1_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2025,2,5354,734,USD,millions,contemporaneous clean event input,,2025-07-31,2025-07-31,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561225000047/a2025q2-earningspressrelea.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q2_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2025,3,5774,782,USD,millions,contemporaneous clean event input,,2025-11-04,2025-11-04,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561225000059/a2025q3-earningspressrelea.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q3_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2025,4,6078,806,USD,millions,contemporaneous clean event input,,2026-02-12,2026-02-12,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561226000012/a2025q4-earningspressrelea.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2025Q4_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Grab,2026,1,6131,847,USD,millions,contemporaneous clean event input,,2026-05-05,2026-05-05,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,reported On-Demand GMV; issuer presents this as the combined operating scope,Mobility revenue + Deliveries revenue from the same release,GMV directly reported at On-Demand scope; revenue mechanically summed from reported segments,2022Q4 revenue-recognition/business-model change is an existing break flag; do not treat the time series as definition-invariant,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1855612/000185561226000078/a42026q1-earningspressrele.htm,01_RAW_SOURCES/quarterly_releases/GRAB_2026Q1_sec_primary_exhibit.html,retrieved,YES — see grab_panel_component_reconciliation.csv
Sea,2022,1,17.4,1.5,USD,billions,contemporaneous clean event input,,2022-05-17,2022-05-17,working; official IR release dates,before U.S. market open / same U.S. session,reported Shopee/e-commerce GMV,reported Shopee/e-commerce GAAP revenue,both panel fields directly reported at e-commerce segment scope,2023Q1-Q3 are absent because the retained panel does not treat unavailable quarterly GMV as observed; remaining rows are a gapped series,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1703399/000110465922061936/tm2215818d1_ex99-1.htm,01_RAW_SOURCES/quarterly_releases/SEA_2022Q1_sec_primary_exhibit.html,retrieved,YES — see sea_panel_direct_reconciliation.csv
Sea,2022,2,19.0,1.7,USD,billions,contemporaneous clean event input,,2022-08-16,2022-08-16,working; official IR release dates,before U.S. market open / same U.S. session,reported Shopee/e-commerce GMV,reported Shopee/e-commerce GAAP revenue,both panel fields directly reported at e-commerce segment scope,2023Q1-Q3 are absent because the retained panel does not treat unavailable quarterly GMV as observed; remaining rows are a gapped series,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1703399/000110465922091743/tm2223563d1_ex99-1.htm,01_RAW_SOURCES/quarterly_releases/SEA_2022Q2_sec_primary_exhibit.html,retrieved,YES — see sea_panel_direct_reconciliation.csv
Sea,2022,3,19.1,1.9,USD,billions,contemporaneous clean event input,,2022-11-15,2022-11-15,working; official IR release dates,before U.S. market open / same U.S. session,reported Shopee/e-commerce GMV,reported Shopee/e-commerce GAAP revenue,both panel fields directly reported at e-commerce segment scope,2023Q1-Q3 are absent because the retained panel does not treat unavailable quarterly GMV as observed; remaining rows are a gapped series,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1703399/000110465922119122/tm2230567d1_ex99-1.htm,01_RAW_SOURCES/quarterly_releases/SEA_2022Q3_sec_primary_exhibit.html,retrieved,YES — see sea_panel_direct_reconciliation.csv
Sea,2022,4,18.0,2.1,USD,billions,contemporaneous clean event input,,2023-03-07,2023-03-07,working; official IR release dates,before U.S. market open / same U.S. session,reported Shopee/e-commerce GMV,reported Shopee/e-commerce GAAP revenue,both panel fields directly reported at e-commerce segment scope,2023Q1-Q3 are absent because the retained panel does not treat unavailable quarterly GMV as observed; remaining rows are a gapped series,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1703399/000110465923029545/tm238717d1_ex99-1.htm,01_RAW_SOURCES/quarterly_releases/SEA_2022Q4_sec_primary_exhibit.html,retrieved,YES — see sea_panel_direct_reconciliation.csv
Sea,2023,4,23.1,2.6,USD,billions,contemporaneous clean event input,2023Q1-Q2 excluded: Sea moved from quarterly to annual GMV disclosure,2024-03-04,2024-03-04,working; official IR release dates,before U.S. market open / same U.S. session,reported Shopee/e-commerce GMV,reported Shopee/e-commerce GAAP revenue,both panel fields directly reported at e-commerce segment scope,2023Q1-Q3 are absent because the retained panel does not treat unavailable quarterly GMV as observed; remaining rows are a gapped series,archived_SEC_primary_exhibit,issuer_filed_exhibit_selected_near_announcement_date,https://www.sec.gov/Archives/edgar/data/1703399/000110465924030484/tm247857d1_ex99-1.htm,01_RAW_SOURCES/quarterly_releases/SEA_2023Q4_sec_primary_exhibit.html,retrieved,YES — see sea_panel_direct_reconciliation.csv
