platform,fiscal_year,quarter,gmv_or_gtv,matched_revenue,currency,unit,ecosystem_ratio,previous_calendar_quarter_ratio,ratio_qoq,basis,notes_x,announcement_date,event_session_date,status_x,release_timing,notes_y,guidance_contaminated_working,reason,status_y,stock_ticker,benchmark,ar_m1,ar_0,ar_p1,car_m1_p1,period_num,post_tokopedia_deconsolidation
GoTo,2025,3,176.484,4.736,IDR,trillions,36.264358108,34.321857671,0.0565966,contemporaneous clean event input,,2025-10-29,2025-10-30,verified/working mapping,after IDX close,"First reactive IDX session, not raw publication calendar date.",yes,Official Q3 2025 release states that GoTo raised its full-year guidance; this is a direct guidance revision in the same earnings release.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.00908771344819903,0.06924398238405582,0.002466863031676647,0.0807985588639315,8103,True
GoTo,2025,4,211.732,5.027,IDR,trillions,41.118957629,36.264358108,0.133866964,contemporaneous clean event input,,2026-03-11,2026-03-12,CANDIDATE/WORKING: primary announcement date verified; event-session timing inferred pending timestamp proof,after IDX close inferred; exact publication timestamp not yet independently proven,"Primary source located: GoTo official press release, 11 Mar 2026, 'GoTo Beats Guidance Achieving Record Results as it Reports 2025 Fourth Quarter and Full Year Earnings'. Release sets FY2026 adjusted EBITDA guidance at Rp3.2-3.4T. Do not call 12 Mar 2026 event session 'verified' until publication/call timing is timestamp-proven.",candidate,"Primary GoTo release is now verified (11 Mar 2026). It sets initial FY2026 Adjusted EBITDA guidance of Rp3.2-3.4T while reporting FY2025 results. Under the literal current rule ('revises guidance'), initial next-year guidance is not automatically contaminated; under a broader guidance-news rule it would be.",PRIMARY SOURCE RESOLVED; RULE-DEFINITION DECISION REQUIRED,GOTO.JK,JCI,0.043286732973057296,-0.013851849168261543,0.012691851095216644,0.0421267349000124,8104,True
GoTo,2026,1,236.316,5.341,IDR,trillions,43.245646883,41.118957629,0.051720408,contemporaneous clean event input,,2026-04-28,2026-04-29,CANDIDATE/WORKING: announcement date verified; event-session timing inferred pending timestamp proof,after IDX close (assumed); exact WIB timestamp not independently confirmed,"Source: official gotocompany.com press release dated Apr 28 2026. Not contaminated: first quarterly net profit is a results highlight, not a guidance revision or concurrent major corporate event; FY guidance reaffirmed, not revised.",no,Official Q1 2026 release reaffirmed full-year Adjusted EBITDA guidance of Rp3.2-3.4T rather than revising it; no new M&A/capital/restructuring event identified in the results release.,RESOLVED/REVIEWED 2026-08-26,GOTO.JK,JCI,0.004802340610271183,0.03365887142177959,0.0021557789444482944,0.04061699097649907,8105,True
Grab,2022,1,3396.0,203.0,USD,millions,15.729064039,,,contemporaneous clean event input,,2022-05-19,2022-05-19,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,-0.026001696655656104,0.24370355189359239,0.025267892186844332,0.2429697474247806,8089,False
Grab,2022,2,3511.0,295.0,USD,millions,10.901694915,15.729064039,-0.306907589,contemporaneous clean event input,,2022-08-25,2022-08-25,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,yes,FY2022 guidance revised/downward or profitability timing changed in same release,working known example; final full recode required,GRAB,NASDAQ,0.03340697842882978,-0.13893284977811482,0.0045559971486844875,-0.10096987420060055,8090,False
Grab,2022,3,3525.0,347.0,USD,millions,9.158501441,10.901694915,-0.159901143,contemporaneous clean event input,,2022-11-16,2022-11-16,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,yes,FY2022 revenue / Adjusted EBITDA guidance revised in same release,working known example; final full recode required,GRAB,NASDAQ,0.0429462796636233,0.021774845722903113,0.025682623399918114,0.09040374878644453,8091,False
Grab,2022,4,3499.0,457.0,USD,millions,6.656455142,9.158501441,-0.273193853,contemporaneous clean event input,Deliveries business-model/revenue-recognition break caveat,2023-02-23,2023-02-23,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,candidate,Breakeven timing brought forward; apply final contamination rule consistently,working known example; final full recode required,GRAB,NASDAQ,0.028126483265722868,-0.0900987734759604,-0.017404001519535695,-0.07937629172977323,8092,False
Grab,2023,1,3562.0,469.0,USD,millions,6.594882729,6.656455142,-0.00925003,contemporaneous clean event input,,2023-05-18,2023-05-18,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,yes,Adjusted EBITDA guidance revised upward,working known example; final full recode required,GRAB,NASDAQ,0.006225444171847672,-0.16257644641299485,0.00608139087398496,-0.15026961136716221,8093,False
Grab,2023,2,3893.0,500.0,USD,millions,6.786,6.594882729,0.028979631,contemporaneous clean event input,,2023-08-23,2023-08-23,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,yes,Breakeven timing brought forward,working known example; final full recode required,GRAB,NASDAQ,0.020793244428973567,0.0918536116432731,0.007923984253961791,0.12057084032620846,8094,False
Grab,2023,3,4015.0,537.0,USD,millions,6.476722533,6.786,-0.045575813,contemporaneous clean event input,,2023-11-09,2023-11-09,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,0.005535688086065305,0.04079526423612623,-0.026539856247301596,0.019791096074889936,8095,False
Grab,2023,4,4122.0,558.0,USD,millions,6.387096774,6.476722533,-0.013838135,contemporaneous clean event input,,2024-02-22,2024-02-22,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,candidate,Inaugural US$500m share repurchase announced concurrently,working known example; final full recode required,GRAB,NASDAQ,-0.008268238325768174,-0.11362947800695589,0.002792723201286873,-0.11910499313143719,8096,False
Grab,2024,1,4242.0,597.0,USD,millions,6.105527638,6.387096774,-0.044084057,contemporaneous clean event input,,2024-05-16,2024-05-16,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,-0.0027673515408499494,0.01652120148336489,0.019917635354629315,0.033671485297144255,8097,True
Grab,2024,2,4434.0,603.0,USD,millions,6.353233831,6.105527638,0.040570809,contemporaneous clean event input,,2024-08-15,2024-08-15,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,-0.00029033906147879485,-0.09756033836272249,0.013910228983321504,-0.08394044844087978,8098,True
Grab,2024,3,4659.0,651.0,USD,millions,6.156682028,6.353233831,-0.030937285,contemporaneous clean event input,,2024-11-12,2024-11-12,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,0.0348398401056893,0.11733780379623882,0.0026284235830008607,0.15480606748492898,8099,True
Grab,2024,4,5028.0,689.0,USD,millions,6.297532656,6.156682028,0.022877684,contemporaneous clean event input,,2025-02-20,2025-02-20,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,0.00679919367402082,-0.09925127353767393,0.04599229804315852,-0.046459781820494594,8100,True
Grab,2025,1,4933.0,697.0,USD,millions,6.077474892,6.297532656,-0.034943489,contemporaneous clean event input,,2025-04-30,2025-04-30,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,0.0008211369642352473,0.019647099080649766,-0.03769607407790998,-0.017227838033024967,8101,True
Grab,2025,2,5354.0,734.0,USD,millions,6.294277929,6.077474892,0.03567321,contemporaneous clean event input,,2025-07-31,2025-07-31,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,-0.005253839917588321,-0.07527265241480985,0.003956123383644039,-0.07657036894875413,8102,True
Grab,2025,3,5774.0,782.0,USD,millions,6.383631714,6.294277929,0.014196034,contemporaneous clean event input,,2025-11-04,2025-11-04,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,0.005357009906009624,-0.026558494979207814,-0.03153886544530371,-0.0527403505185019,8103,True
Grab,2025,4,6078.0,806.0,USD,millions,6.540942928,6.383631714,0.024642903,contemporaneous clean event input,,2026-02-12,2026-02-12,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,-0.017003192573332715,0.029802684890516407,-0.0305529233907188,-0.01775343107353511,8104,True
Grab,2026,1,6131.0,847.0,USD,millions,6.238488784,6.540942928,-0.046240144,contemporaneous clean event input,,2026-05-05,2026-05-05,working; dates sourced during reconstruction,before U.S. market open / same U.S. session,Re-verify exact premarket timing for final replication ledger.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,GRAB,NASDAQ,-0.011766983788374263,0.006269381262538731,0.004208296752499008,-0.0012893057733365243,8105,True
Sea,2022,1,17.4,1.5,USD,billions,10.6,,,contemporaneous clean event input,,2022-05-17,2022-05-17,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.06329497297259323,0.1203109165521461,-0.034533079878666495,0.02248286370088637,8089,False
Sea,2022,2,19.0,1.7,USD,billions,10.176470588,10.6,-0.039955605,contemporaneous clean event input,,2022-08-16,2022-08-16,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,0.010234067042029116,-0.14125548126583065,-0.05656179721865706,-0.1875832114424586,8090,False
Sea,2022,3,19.1,1.9,USD,billions,9.052631579,10.176470588,-0.110435047,contemporaneous clean event input,,2022-11-15,2022-11-15,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.06450142800286762,0.3517672854421523,-0.04872119974686551,0.23854465769241917,8091,False
Sea,2022,4,18.0,2.1,USD,billions,7.571428571,9.052631579,-0.163621262,contemporaneous clean event input,,2023-03-07,2023-03-07,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-7.804667476785099e-05,0.23371070657626325,-0.004537452115403573,0.22909520778609183,8092,False
Sea,2023,4,23.1,2.6,USD,billions,7.884615385,,,contemporaneous clean event input,2023Q1-Q2 excluded: Sea moved from quarterly to annual GMV disclosure,2024-03-04,2024-03-04,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,0.044135591402050256,0.057020927720507375,0.04451589163944969,0.14567241076200732,8096,False
Sea,2024,1,23.6,2.7,USD,billions,7.740740741,7.884615385,-0.018247516,contemporaneous clean event input,,2024-05-14,2024-05-14,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.006691442089277522,0.023086528736183665,0.024203136057738384,0.04059822270464453,8097,True
Sea,2024,2,23.3,2.8,USD,billions,7.321428571,7.740740741,-0.054169515,contemporaneous clean event input,,2024-08-13,2024-08-13,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,0.031717643469285406,0.10165212918480426,0.02222843746840608,0.15559821012249575,8098,True
Sea,2024,3,25.1,3.2,USD,billions,6.84375,7.321428571,-0.065243902,contemporaneous clean event input,,2024-11-12,2024-11-12,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,0.040715434514276616,0.10744840084909335,-0.025220638345139768,0.1229431970182302,8099,True
Sea,2024,4,28.6,3.7,USD,billions,6.72972973,6.84375,-0.016660496,contemporaneous clean event input,,2025-03-04,2025-03-04,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.012103888167163235,0.08365761263669536,0.09465283198762497,0.1662065564571571,8100,True
Sea,2025,1,28.6,3.5,USD,billions,7.171428571,6.72972973,0.065633964,contemporaneous clean event input,Corrected denominator; old lineage used a mixed segment/consolidated denominator around this transition,2025-05-13,2025-05-13,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.008990493444907655,0.07474553846747067,0.057692171090433675,0.1234472161129967,8101,True
Sea,2025,2,29.8,3.8,USD,billions,6.842105263,7.171428571,-0.045921577,contemporaneous clean event input,,2025-08-12,2025-08-12,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.0068448653162552775,0.1793815025690464,-0.00012872027876809078,0.17240791697402302,8102,True
Sea,2025,3,32.2,4.3,USD,billions,6.488372093,6.842105263,-0.051699463,contemporaneous clean event input,,2025-11-11,2025-11-11,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,0.018679283680195446,-0.08424242721782449,0.006678532581193775,-0.05888461095643527,8103,True
Sea,2025,4,36.7,5.0,USD,billions,6.34,6.488372093,-0.022867384,contemporaneous clean event input,,2026-03-03,2026-03-03,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.03027385455036924,-0.15584443521912172,-0.0027457732117326383,-0.1888640629812236,8104,True
Sea,2026,1,37.3,5.1,USD,billions,6.31372549,6.34,-0.004144244,contemporaneous clean event input,,2026-05-12,2026-05-12,working; official IR release dates,before U.S. market open / same U.S. session,Official Sea quarterly-results archive is linked in sources.,unknown,,NEEDS RELEASE-BY-RELEASE REVIEW,SE,SPX,-0.023325829337041082,0.13297993342296566,-0.03188548984816353,0.07776861423776105,8105,True
