record_id,platform,period,geography_scope,business_scope,evidence_tier,transaction_value,revenue_value,unit,period_match,ratio_status,certified_admission,proposed_empirical_role,source_dataset,source_locator,key_caveat
BUKA-2023,Bukalapak,FY2023,Group; overseas operations disclosed,Group,direct_issuer_group,164380065,4438269,IDR_million,yes,eligible_direct_pair,candidate_geography_pending,direct_support_or_core_if_scope_approved,data/longitudinal/bukalapak_annual_candidates.csv,"AR/SR 2024 mirror PDF p6 economic performance table","AR2023 identifies operations in Indonesia and four other countries"
TOKO-2022,Tokopedia,FY2022,Indonesia-aligned business segment,e-commerce segment,direct_business_segment,273146166,4030919,IDR_million,yes,eligible_direct_pair,strongest_direct_candidate,direct_longitudinal_candidate,data/longitudinal/indonesia_extension_source_inputs.csv,"FY2023 annual report comparative GTV line 8488; Note 29 third-party net revenue line 30705","Direct segment pair using FY2023-restated comparative; not a literal geographic country line"
TOKO-2023,Tokopedia,FY2023,Indonesia-aligned business segment,e-commerce segment,direct_business_segment,248836156,6175190,IDR_million,yes,eligible_direct_pair,strongest_direct_candidate,direct_longitudinal_candidate,data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"FY2023 annual report operating metrics financial-statement p5/111; Note 29 segment net revenue line 30661","Direct e-commerce segment figures; not a literal geographic country line"
GRAB-2021,Grab,FY2021,Indonesia,country allocation,mixed_direct_derived,1.879732,0.079,USD_billion,yes,computable_but_mechanically_rate_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"Indonesia revenue: FY2023 20-F line 1002; Group revenue line 1263; Group GMV FY2021 Overall row","Indonesia revenue direct; transaction value derived using Group revenue/GMV rate"
GRAB-2022,Grab,FY2022,Indonesia,country allocation,mixed_direct_derived,3.826012,0.275,USD_billion,yes,computable_but_mechanically_rate_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"Indonesia revenue: FY2023 20-F line 1002; Group revenue line 1263; Group GMV FY2023-results comparative line 285","Indonesia revenue direct; transaction value derived using Group revenue/GMV rate"
GRAB-2023,Grab,FY2023,Indonesia,country allocation,mixed_direct_derived,5.381397,0.605,USD_billion,yes,computable_but_mechanically_rate_dependent,conditional_sensitivity,conditional_country_sensitivity,data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"Indonesia revenue 20-F line 1002; Group revenue line 1263; Group GMV results lines 282-285","Indonesia revenue direct; transaction value derived using Group monetization rate"
SHOP-2022,Shopee,FY2022,Indonesia,country allocation,external_plus_derived,18.684,1.569456,USD_billion,yes,computable_but_model_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"ERIA Figure 3.4 Indonesia market GMV/share; Sea FY2024 20-F line 5085 rate","Country GMV external and revenue derived from company-wide service-revenue/GMV rate"
SHOP-2023,Shopee,FY2023,Indonesia,country allocation,external_plus_derived,21.52,2.152,USD_billion,yes,computable_but_model_dependent,conditional_sensitivity,conditional_country_sensitivity,data/indonesia_fy2023/fy2023_indonesia_source_inputs.csv,"Indonesia market GMV/share external estimate; Sea FY2023 20-F lines 17584-17585 disclosed 10.0% rate","Country GMV external and revenue derived from company-wide service rate"
SHOP-2024,Shopee,FY2024,Indonesia,country allocation,external_plus_derived,25.99,2.80692,USD_billion,yes,computable_but_model_dependent,conditional_sensitivity,conditional_country_sensitivity,data/longitudinal/indonesia_extension_source_inputs.csv,"Indonesia 2024 market GMV estimate; Kemendag Figure 9 Shopee 46%; Sea FY2025 20-F rate 10.8%","Country GMV external and revenue derived from company-wide service rate"
EX-TOKO-2021,Tokopedia,FY2021,Indonesia-aligned business segment,e-commerce segment,direct_values_period_mismatch,230598613,1997222,IDR_million,no,not_eligible_period_mismatch,exclude_period_mismatch,excluded,data/longitudinal/indonesia_extension_source_inputs.csv,"FY2021 pro-forma GTV from FY2021 report; revenue from FY2022 segment comparative","Full-year pro-forma transaction value is paired with post-acquisition/non-equivalent-period revenue"
EX-BUKA-2024,Bukalapak,FY2024,Group; overseas operations disclosed,Group,direct_values_period_mismatch,124076664,4460266,IDR_million,no,not_eligible_period_mismatch,exclude_period_mismatch,excluded,data/longitudinal/bukalapak_annual_candidates.csv,"AR/SR 2024 mirror p6 economic performance table and footnote","TPV covers 9 months while revenue covers 12 months"
