issuer,segment,region,year,transaction_metric,transaction_value,revenue_metric,revenue_value,currency,unit,source_url,source_file,source_locator,precision,scope_break,scope_note,transaction_definition,revenue_definition,evidence_class,analytical_role
Jumia,E-commerce group,Africa,2024,GMV,720.6,total_revenue,167.486,USD,million,https://investor.jumia.com/files/doc_financials/2024/q4/Jumia-EX-99-1-Q4-2024_v02192025-v4.pdf,sources/global_ecommerce/raw/jumia/jumia_fy2024_results.pdf,"FY2024 PDF pp.1, 9, 12",GMV USD0.1m; revenue USD0.001m,yes,Exit from South Africa and Tunisia; issuer also supplies a perimeter-adjusted GMV series.,"Orders for products/services including shipping and VAT, before discounts, cancellations and returns.","Marketplace, first-party and other revenue.",direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Jumia,E-commerce group,Africa,2025,GMV,818.6,total_revenue,188.9,USD,million,https://investor.jumia.com/news/news-details/2026/Jumia-Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,sources/global_ecommerce/raw/jumia/jumia_fy2025_results.html,Full-year 2025 highlights,USD0.1m,no,,"Orders for products/services including shipping and VAT, before discounts, cancellations and returns.","Marketplace, first-party and other revenue.",direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Mercado Libre,Commerce,Latin America,2021,GMV,28400.0,commerce_revenue,4635.0,USD,million,https://www.sec.gov/Archives/edgar/data/1099590/000109959024000008/meli-20231231.htm,sources/global_ecommerce/raw/mercadolibre/mercadolibre_fy2023_10k.htm,FY2023 10-K KPI and revenue-stream comparatives,GMV rounded to USD0.1bn; revenue USD1m,no,,"Transactions completed through Mercado Libre Marketplace, excluding Classifieds.",Commerce services plus Commerce product-sales revenue; excludes Fintech.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Mercado Libre,Commerce,Latin America,2022,GMV,34400.0,commerce_revenue,5808.0,USD,million,https://www.sec.gov/Archives/edgar/data/1099590/000109959024000008/meli-20231231.htm,sources/global_ecommerce/raw/mercadolibre/mercadolibre_fy2023_10k.htm,FY2023 10-K KPI and revenue-stream comparatives,GMV rounded to USD0.1bn; revenue USD1m,no,,"Transactions completed through Mercado Libre Marketplace, excluding Classifieds.",Commerce services plus Commerce product-sales revenue; excludes Fintech.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Mercado Libre,Commerce,Latin America,2023,GMV,44749.0,commerce_revenue,8201.0,USD,million,https://www.sec.gov/Archives/edgar/data/1099590/000109959024000008/meli-20231231.htm,sources/global_ecommerce/raw/mercadolibre/mercadolibre_fy2023_10k.htm,FY2023 10-K KPI and consolidated revenue-stream tables,USD1m,no,,"Transactions completed through Mercado Libre Marketplace, excluding Classifieds.",Commerce services plus Commerce product-sales revenue; excludes Fintech.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Mercado Libre,Commerce,Latin America,2024,GMV,51467.0,commerce_revenue,12159.0,USD,million,https://www.sec.gov/Archives/edgar/data/1099590/000109959025000007/meli-20241231.htm,sources/global_ecommerce/raw/mercadolibre/mercadolibre_fy2024_10k.htm,FY2024 10-K KPI and revenue-stream tables,USD1m,yes,Commerce revenue increased partly because more shipping services were reported as principal rather than agent.,"Transactions completed through Mercado Libre Marketplace, excluding Classifieds.",Commerce services plus Commerce product-sales revenue; excludes Fintech.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Mercado Libre,Commerce,Latin America,2025,GMV,65037.0,commerce_revenue,16294.0,USD,million,https://investor.mercadolibre.com/open-file?file=aHR0cHM6Ly9odHRwMi5tbHN0YXRpYy5jb20vc3RvcmFnZS9tbC1jbXMtYmFja2VuZC9jbXMtZG9jdW1lbnRzLXByb2Qvc2VjLzAwMDEwOTk1OTAvMDAwMTA5OTU5MC0yNi0wMDAwMDYvZm9ybTEwLUstMDAwMTA5OTU5MC0yNi0wMDAwMDYucGRm,sources/global_ecommerce/raw/mercadolibre/mercadolibre_fy2025_10k.pdf,FY2025 10-K pp.42 and 113; KPI table,USD1m,yes,Food delivery enters GMV from Q2 2025; principal/agent shipping mix also changed.,"Transactions completed through Mercado Libre Marketplace, excluding Classifieds; food delivery from Q2 2025.",Commerce services plus Commerce product-sales revenue; excludes Fintech.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Rakuten,Domestic EC,Japan,2023,GMS,6202000.0,segment_revenue,932000.0,JPY,million,https://global.rakuten.com/corp/investors/assets/doc/documents/25Q4MAINPPT_E.pdf,sources/global_ecommerce/raw/rakuten/rakuten_fy2025_results_deck.pdf,"PDF p.16, retrospectively revised chart",JPY1bn,yes,FY2025 deck retrospectively realigns businesses and revises Domestic EC GMS scope.,Domestic EC GMS including a broad portfolio of commerce and travel businesses.,Domestic EC segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Rakuten,Domestic EC,Japan,2024,GMS,6106000.0,segment_revenue,967000.0,JPY,million,https://global.rakuten.com/corp/investors/assets/doc/documents/25Q4MAINPPT_E.pdf,sources/global_ecommerce/raw/rakuten/rakuten_fy2025_results_deck.pdf,"PDF p.16, retrospectively revised chart",JPY1bn,yes,FY2025 deck retrospectively realigns businesses and revises Domestic EC GMS scope.,Domestic EC GMS including a broad portfolio of commerce and travel businesses.,Domestic EC segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Rakuten,Domestic EC,Japan,2025,GMS,6345000.0,segment_revenue,1023000.0,JPY,million,https://global.rakuten.com/corp/investors/assets/doc/documents/25Q4MAINPPT_E.pdf,sources/global_ecommerce/raw/rakuten/rakuten_fy2025_results_deck.pdf,PDF p.16,JPY1bn,no,,Domestic EC GMS including a broad portfolio of commerce and travel businesses.,Domestic EC segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2017,GMV,4112.9,ecommerce_revenue,9.034,USD,million,https://www.sec.gov/Archives/edgar/data/1703399/000114420419011639/tv512574_20f.htm,data/longitudinal/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,Four quarterly GMV rows summed; annual segment-revenue row,USD0.001m,no,,Shopee orders as defined in the relevant Sea filing.,E-commerce segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2018,GMV,10279.3,ecommerce_revenue,269.578,USD,million,https://www.sec.gov/Archives/edgar/data/1703399/000114036120008832/form20f.htm,data/longitudinal/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,Four quarterly GMV rows summed; annual segment-revenue row,USD0.001m,no,,Shopee orders as defined in the relevant Sea filing.,E-commerce segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2019,GMV,17576.2,ecommerce_revenue,834.295,USD,million,https://www.sec.gov/Archives/edgar/data/1703399/000114036120008832/form20f.htm,data/longitudinal/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,Four quarterly GMV rows summed; annual segment-revenue row,USD0.001m,no,,Shopee orders as defined in the relevant Sea filing.,E-commerce segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2020,GMV,35400.0,ecommerce_revenue,2167.149,USD,million,https://www.sec.gov/Archives/edgar/data/1703399/000114036121013089/brhc10022673_20f.htm,data/longitudinal/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,Four quarterly GMV rows summed; annual segment-revenue row,GMV USD0.1bn; revenue USD0.001m,no,,Shopee orders as defined in the relevant Sea filing.,E-commerce segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2021,GMV,62600.0,ecommerce_revenue,5122.959,USD,million,https://www.sec.gov/Archives/edgar/data/1703399/000114036122015578/brhc10036000_20f.htm,data/longitudinal/EDGAR_SEA_SHOPEE_GMV_QUARTERLY_2017_2021.csv,Four quarterly GMV rows summed; annual segment-revenue row,GMV USD0.1bn; revenue USD0.001m,no,,Shopee orders as defined in the relevant Sea filing.,E-commerce segment revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2022,GMV,73500.0,ecommerce_revenue,7300.0,USD,million,https://www.sea.com/investor/annualreports,sources/core_public_documents/sea_2023_20f.htm,FY2023/FY2024 issuer comparisons,USD0.1bn,yes,The reported e-commerce revenue perimeter and monetization mix evolve over time.,Shopee GMV.,Shopee/e-commerce revenue as retained in the existing annual extension.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2023,GMV,78500.0,ecommerce_revenue,9000.0,USD,million,https://www.sea.com/investor/annualreports,sources/core_public_documents/sea_2023_20f.htm,FY2023 20-F; existing annual extension,USD0.1bn,no,,Shopee GMV.,Shopee/e-commerce revenue as retained in the existing annual extension.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2024,GMV,100500.0,ecommerce_revenue,12400.0,USD,million,https://www.sea.com/investor/annualreports,sources/core_public_documents/sea_fy2024_20f_official.pdf,FY2024 20-F; existing annual extension,USD0.1bn,no,,Shopee GMV.,Shopee/e-commerce revenue as retained in the existing annual extension.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Sea / Shopee,E-commerce,Southeast Asia and other markets,2025,GMV,127400.0,ecommerce_revenue,16600.0,USD,million,https://www.sea.com/investor/annualreports,sources/core_public_documents/sea_fy2025_20f_yahoo_cdn.htm,FY2025 20-F; existing annual extension,USD0.1bn,no,,Shopee GMV.,Shopee/e-commerce revenue as retained in the existing annual extension.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2019,GMV,61100.0,total_revenue,1578.0,USD,million,https://www.shopify.com/news/shopify-announces-fourth-quarter-and-full-year-2019-financial-results,sources/global_ecommerce/raw/shopify/shopify_fy2019_results.html,Full-Year Financial Highlights,GMV rounded to USD0.1bn; revenue USD1m,no,,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2020,GMV,119600.0,total_revenue,2929.5,USD,million,https://www.shopify.com/news/shopify-announces-fourth-quarter-and-full-year-2020-financial-results,sources/global_ecommerce/raw/shopify/shopify_fy2020_results.html,Full-Year Financial Highlights,GMV rounded to USD0.1bn; revenue USD0.1m,no,,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2021,GMV,175361.814,total_revenue,4611.856,USD,million,https://www.shopify.com/news/shopify-announces-fourth-quarter-and-full-year-2021-financial-results,sources/global_ecommerce/raw/shopify/shopify_fy2021_results.html,Full-year highlights; exact later comparative in FY2022 SEC exhibit,USD0.001m,no,,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2022,GMV,197166.882,total_revenue,5599.864,USD,million,https://www.sec.gov/Archives/edgar/data/1594805/000159480523000008/exhibit991pressreleaseq420.htm,sources/global_ecommerce/raw/shopify/shopify_fy2022_results.html,"SEC Exhibit 99.1, years-ended performance and revenue tables",USD0.001m,no,,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2023,GMV,235910.0,total_revenue,7060.0,USD,million,https://www.shopify.com/news/shopify-announces-fourth-quarter-and-full-year-2023-financial-results,sources/global_ecommerce/raw/shopify/shopify_fy2023_results.html,FY2024 annual-report comparative table,USD1m,yes,Shopify sold most logistics businesses in May 2023; reported revenue growth differs from comparable-basis growth.,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2024,GMV,292275.0,total_revenue,8880.0,USD,million,https://www.shopify.com/investors/press-releases/shopify-merchant-success-powers-q4-outperformance-across-both-top-and-bottom-line,sources/global_ecommerce/raw/shopify/shopify_fy2024_annual_report.pdf,Selected Business Performance Information,USD1m,no,,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Shopify,Commerce platform,Global,2025,GMV,378441.0,total_revenue,11556.0,USD,million,https://s27.q4cdn.com/572064924/files/doc_financials/2025/q4/Shopify_Investor_Press_Release_Q4-25_FINAL.pdf,sources/global_ecommerce/raw/shopify/shopify_fy2025_results.pdf,"PDF p.1, Selected Business Performance Information",USD1m,no,,"Orders facilitated through Shopify, net of refunds, including shipping, duties and VAT.",Subscription solutions plus merchant solutions.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Zalando,Group,Europe,2020,GMV,10696.0,total_revenue,7982.0,EUR,million,https://corporate.zalando.com/en/investor-relations/key-figures-2021,sources/global_ecommerce/raw/zalando/zalando_key_figures_2021.html,"Key figures, FY2020 comparative",EUR0.1m,no,,"Merchandise after cancellations/returns, including VAT; excludes B2B and certain other B2C activity.",Group revenue including B2B and other revenue outside GMV.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Zalando,Group,Europe,2021,GMV,14332.7,total_revenue,10354.0,EUR,million,https://corporate.zalando.com/en/investor-relations/key-figures-2022,sources/global_ecommerce/raw/zalando/zalando_key_figures_2022.html,"Key figures, revised FY2021 comparative",EUR0.1m,no,,"Merchandise after cancellations/returns, including VAT; excludes B2B and certain other B2C activity.",Group revenue including B2B and other revenue outside GMV.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Zalando,Group,Europe,2022,GMV,14788.7,total_revenue,10344.8,EUR,million,https://corporate.zalando.com/en/financials/zalando-full-year-23-results,sources/global_ecommerce/raw/zalando/zalando_fy2023_results.html,"Zalando at a glance, revised FY2022 comparative",EUR0.1m,no,,"Merchandise after cancellations/returns, including VAT; excludes B2B and certain other B2C activity.",Group revenue including B2B and other revenue outside GMV.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Zalando,Group,Europe,2023,GMV,14631.0,total_revenue,10143.1,EUR,million,https://corporate.zalando.com/en/investor-relations/key-figures-2024,sources/global_ecommerce/raw/zalando/zalando_key_figures_2024.html,"Key figures, revised FY2023 comparative",EUR0.1m,no,,"Merchandise after cancellations/returns, including VAT; excludes B2B and certain other B2C activity.",Group revenue including B2B and other revenue outside GMV.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Zalando,Group,Europe,2024,GMV,15311.3,total_revenue,10572.5,EUR,million,https://corporate.zalando.com/en/investor-relations/key-figures-2025,sources/global_ecommerce/raw/zalando/zalando_key_figures_2025.html,"Key figures, revised FY2024 comparative",EUR0.1m,no,,"Merchandise after cancellations/returns, including VAT; excludes B2B and certain other B2C activity.",Group revenue including B2B and other revenue outside GMV.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
Zalando,Group,Europe,2025,GMV,17560.2,total_revenue,12346.1,EUR,million,https://corporate.zalando.com/en/investor-relations/key-figures-2025,sources/global_ecommerce/raw/zalando/zalando_key_figures_2025.html,"Key figures, FY2025",EUR0.1m,yes,ABOUT YOU acquisition affects the 2025 perimeter.,"Merchandise after cancellations/returns, including VAT; excludes B2B and certain other B2C activity.",Group revenue including B2B and other revenue outside GMV.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
eBay,Marketplace,Global,2020,GMV,100000.0,net_revenue,10271.0,USD,million,https://investors.ebayinc.com/investor-news/press-release-details/2021/eBay-Inc.-Reports-Better-Than-Expected-Fourth-Quarter-and-Full-Year-2020-Results/default.aspx,sources/global_ecommerce/raw/ebay/ebay_fy2020_results.html,Full Year Financial Highlights and income statement,GMV rounded to USD0.1bn; revenue USD1m,yes,2020/2021 comparisons were affected by the eBay Korea disposal and continuing-operations presentation.,"Paid marketplace transactions including shipping and taxes, before returns/cancellations.",Consolidated net revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
eBay,Marketplace,Global,2021,GMV,87400.0,net_revenue,10420.0,USD,million,https://investors.ebayinc.com/investor-news/press-release-details/2022/eBay-Inc.-Reports-Better-Than-Expected-Fourth-Quarter-and-Full-Year-2021-Results/default.aspx,sources/global_ecommerce/raw/ebay/ebay_fy2021_results.html,Full Year Financial Highlights and income statement,GMV rounded to USD0.1bn; revenue USD1m,yes,eBay Korea disposal; do not treat the 2020-2021 transition as a clean perimeter comparison.,"Paid marketplace transactions including shipping and taxes, before returns/cancellations.",Consolidated net revenue from continuing operations.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
eBay,Marketplace,Global,2022,GMV,73900.0,net_revenue,9795.0,USD,million,https://investors.ebayinc.com/investor-news/press-release-details/2023/eBay-Inc.-Reports-Better-Than-Expected-Fourth-Quarter-2022-Results/default.aspx,sources/global_ecommerce/raw/ebay/ebay_fy2022_results.html,Full Year Financial Highlights and income statement,GMV rounded to USD0.1bn; revenue USD1m,no,,"Paid marketplace transactions including shipping and taxes, before returns/cancellations.",Consolidated net revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
eBay,Marketplace,Global,2023,GMV,73200.0,net_revenue,10112.0,USD,million,https://investors.ebayinc.com/investor-news/press-release-details/2024/eBay-Inc.-Reports-Fourth-Quarter-and-Full-Year-2023-Results/default.aspx,sources/global_ecommerce/raw/ebay/ebay_fy2023_results.html,Full Year Financial Highlights and income statement,GMV rounded to USD0.1bn; revenue USD1m,no,,"Paid marketplace transactions including shipping and taxes, before returns/cancellations.",Consolidated net revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
eBay,Marketplace,Global,2024,GMV,74700.0,net_revenue,10283.0,USD,million,https://investors.ebayinc.com/investor-news/press-release-details/2025/eBay-Inc.-Reports-Fourth-Quarter-and-Full-Year-2024-Results/default.aspx,sources/global_ecommerce/raw/ebay/ebay_fy2024_results.html,Full Year Financial Highlights and income statement,GMV rounded to USD0.1bn; revenue USD1m,no,,"Paid marketplace transactions including shipping and taxes, before returns/cancellations.",Consolidated net revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
eBay,Marketplace,Global,2025,GMV,79600.0,net_revenue,11100.0,USD,million,https://investors.ebayinc.com/investor-news/press-release-details/2026/eBay-Inc--Reports-Fourth-Quarter-and-Full-Year-2025-Results/default.aspx,sources/global_ecommerce/raw/ebay/ebay_fy2025_results.html,Full Year 2025 Financial Highlights; income statement; GMV footnote,GMV rounded to USD0.1bn; revenue USD1m,no,,"Paid marketplace transactions including shipping and taxes, before returns/cancellations.",Consolidated net revenue.,direct_issuer_disclosure,global corroboration; never pooled into Indonesia main sample
